STATION,DATE,EMXT,EMNT
GHCND:USW00014837,19700101,33,-294
GHCND:USW00014837,19700201,83,-261
GHCND:USW00014837,19700301,122,-139
GHCND:USW00014837,19700401,294,-72
GHCND:USW00014837,19700501,306,-39
GHCND:USW00014837,19700601,339,39
GHCND:USW00014837,19700701,322,61
GHCND:USW00014837,19700801,328,61
GHCND:USW00014837,19700901,311,11
GHCND:USW00014837,19701001,250,-39
GHCND:USW00014837,19701101,133,-139
GHCND:USW00014837,19701201,167,-244
GHCND:USW00014837,19710101,28,-322
GHCND:USW00014837,19710201,83,-300
GHCND:USW00014837,19710301,211,-161
GHCND:USW00014837,19710401,256,-89
GHCND:USW00014837,19710501,300,-39
GHCND:USW00014837,19710601,350,61
GHCND:USW00014837,19710701,328,61
GHCND:USW00014837,19710801,333,61
GHCND:USW00014837,19710901,322,6
GHCND:USW00014837,19711001,311,-22
GHCND:USW00014837,19711101,217,-139
GHCND:USW00014837,19711201,78,-183
GHCND:USW00014837,19720101,72,-311
GHCND:USW00014837,19720201,67,-283
GHCND:USW00014837,19720301,161,-189
GHCND:USW00014837,19720401,256,-128
GHCND:USW00014837,19720501,317,0
GHCND:USW00014837,19720601,328,-6
GHCND:USW00014837,19720701,344,44
GHCND:USW00014837,19720801,344,44
GHCND:USW00014837,19720901,283,-6
GHCND:USW00014837,19721001,244,-94
GHCND:USW00014837,19721101,122,-94
GHCND:USW00014837,19721201,67,-272
GHCND:USW00014837,19730101,117,-222
GHCND:USW00014837,19730201,67,-267
GHCND:USW00014837,19730301,200,-78
GHCND:USW00014837,19730401,228,-111
GHCND:USW00014837,19730501,267,0
GHCND:USW00014837,19730601,322,89
GHCND:USW00014837,19730701,350,89
GHCND:USW00014837,19730801,344,83
GHCND:USW00014837,19730901,322,17
GHCND:USW00014837,19731001,267,-22
GHCND:USW00014837,19731101,178,-106
GHCND:USW00014837,19731201,150,-239
GHCND:USW00014837,19740101,100,-283
GHCND:USW00014837,19740201,72,-267
GHCND:USW00014837,19740301,194,-200
GHCND:USW00014837,19740401,289,-56
GHCND:USW00014837,19740501,311,-33
GHCND:USW00014837,19740601,317,56
GHCND:USW00014837,19740701,361,89
GHCND:USW00014837,19740801,328,56
GHCND:USW00014837,19740901,306,-39
GHCND:USW00014837,19741001,261,-61
GHCND:USW00014837,19741101,217,-89
GHCND:USW00014837,19741201,50,-144
GHCND:USW00014837,19750101,117,-211
GHCND:USW00014837,19750201,61,-256
GHCND:USW00014837,19750301,106,-222
GHCND:USW00014837,19750401,256,-111
GHCND:USW00014837,19750501,339,11
GHCND:USW00014837,19750601,339,50
GHCND:USW00014837,19750701,339,72
GHCND:USW00014837,19750801,339,67
GHCND:USW00014837,19750901,294,-22
GHCND:USW00014837,19751001,322,-50
