date,visitors,convention,roomsavail,occupancy,avgrate,revperroom,roomnights,planepassengers,avgtraffic,gamingrevenue
Jan-2017,3508800,736000,148693,0.857,149.13,127.80440999999999,3951300,3676329,99390,926124000.0
Feb-2017,3150500,620200,147866,0.856,116.73,99.92088,3545900,3432220,102967,825618000.0
Mar-2017,3783900,757400,147717,0.94,148.55,139.637,4303200,4206358,117771,857317000.0
Apr-2017,3545100,505800,147566,0.907,123.52,112.03264,4016100,4062190,121743,763254000.0
May-2017,3602100,514600,147656,0.891,124.51,110.93841,4078400,4208019,119812,860700000.0
Jun-2017,3605700,486300,147208,0.926,118.95,110.15,4087700,4192034,125937,764615000.0
Jul-2017,3788800,507000,147013,0.945,124.48,117.6336,4304800,4325676,132693,848573000.0
Aug-2017,3562900,548400,146847,0.886,113.25,100.34,4038200,4244800,123655,841591000.0
Sep-2017,3566700,463600,146847,0.911,139.29,126.89319,4013300,4071128,114687,830810000.0
Oct-2017,3604300,687200,146582,0.9,138.8,124.92000000000002,4090700,4339416,112350,854453000.0
Nov-2017,3300500,530600,146222,0.845,117.76,99.5072,3708900,3913935,116143,785051000.0
Dec-2017,3194800,289100,146993,0.774,108.04,83.62296,3524700,3828139,109957,820397000.0
Jan-2018,3393900,612900,146715,0.838,150.45,126.08,3812200,3776299,104143,892064000.0
Feb-2018,3130400,690000,146672,0.853,119.65,102.06,3501200,3568662,106030,888773000.0
Mar-2018,3749800,652400,147463,0.927,134.27,124.47,4236000,4298358,121206,888307000.0
Apr-2018,3548000,563800,147508,0.91,128.9,117.3,4024800,4188246,118375,825327000.0
May-2018,3630400,489100,147963,0.894,133.75,119.57,4100600,4360117,122794,904582000.0
Jun-2018,3565400,500600,147689,0.906,116.41,105.47,4013100,4311292,125508,790981000.0
Jul-2018,3659600,408000,147587,0.908,119.08,108.12,4155400,4425670,130920,839052000.0
Aug-2018,3555200,646500,147244,0.877,115.67,101.44,4005100,4306334,126575,756098000.0
Sep-2018,3457500,437800,147802,0.874,136.23,119.07,3873600,4056591,117421,843436000.0
Oct-2018,3680600,665600,147598,0.914,142.43,130.18,4181700,4433712,120635,926514000.0
Nov-2018,3478500,613300,147545,0.881,128.24,112.98,3901600,4088221,120490,833721000.0
Dec-2018,3267600,221800,147238,0.799,119.83,95.74,3647500,3903082,114721,861109000.0
Jan-2019,3412100,683400,148186,0.84,156.53,131.49,3861000,3902912,106519,860846000.0
Feb-2019,3189900,748600,148168,0.87,130.06,113.15,3607300,3632956,103828,892705000.0
Mar-2019,3697100,552200,148006,0.915,133.95,122.56,4198700,4412138,120402,882845000.0
Apr-2019,3542000,529500,148400,0.91,130.4,118.66,4049200,4284698,125756,808648000.0
May-2019,3691100,520800,148909,0.908,140.52,127.59,4191000,4590550,124723,835841000.0
Jun-2019,3607400,514000,149627,0.917,120.43,110.43,4116100,4450279,128774,906681000.0
Jul-2019,3685900,498800,148789,0.911,126.92,115.62,4204100,4513524,135889,860392000.0
