year,name,count
2018,Liam,19837
2017,Liam,18798
2016,Noah,19117
2015,Noah,19635
2014,Noah,19305
2013,Noah,18257
2012,Jacob,19074
2011,Jacob,20371
2010,Jacob,22127
2009,Jacob,21175
2008,Jacob,22594
2007,Jacob,24282
2006,Jacob,24845
2005,Jacob,25833
2004,Jacob,27881
2003,Jacob,29638
2002,Jacob,30574
2001,Jacob,32545
2000,Jacob,34477
1999,Jacob,35363
1998,Michael,36615
1997,Michael,37549
1996,Michael,38364
1995,Michael,41402
1994,Michael,44469
1993,Michael,49549
1992,Michael,54392
1991,Michael,60785
1990,Michael,65290
1989,Michael,65389
1988,Michael,64143
1987,Michael,63655
1986,Michael,64208
1985,Michael,64912
1984,Michael,67741
1983,Michael,68000
1982,Michael,68235
1981,Michael,68763
1980,Michael,68696
1979,Michael,67739
1978,Michael,67158
1977,Michael,67616
1976,Michael,66954
1975,Michael,68454
1974,Michael,67578
1973,Michael,67847
1972,Michael,71405
1971,Michael,77594
1970,Michael,85302
1969,Michael,85203
1968,Michael,82008
1967,Michael,82436
1966,Michael,79990
1965,Michael,81021
1964,Michael,82646
1963,Michael,83782
1962,Michael,85034
1961,Michael,86917
1960,David,85929
1959,Michael,85251
1958,Michael,90517
1957,Michael,92704
1956,Michael,90656
1955,Michael,88327
1954,Michael,88528
1953,Robert,86256
1952,James,87063
1951,James,87261
1950,James,86224
1949,James,86857
1948,James,88584
1947,James,94757
1946,James,87436
1945,James,74449
1944,James,76951
1943,James,80261
1942,James,77176
1941,James,66736
1940,James,62473
1939,Robert,59645
1938,Robert,62268
1937,Robert,61835
1936,Robert,58492
1935,Robert,56524
1934,Robert,55829
1933,Robert,54218
1932,Robert,59266
1931,Robert,60508
1930,Robert,62149
1929,Robert,59798
1928,Robert,60699
1927,Robert,61669
1926,Robert,61130
1925,Robert,60897
1924,Robert,60801
1923,John,57470
1922,John,57277
1921,John,58217
1920,John,56913
1919,John,53528
1918,John,56558
1917,John,51853
1916,John,50043
1915,John,47576
1914,John,37948
1913,John,29329
1912,John,24587
1911,John,13446
1910,John,11450
1909,John,9591
1908,John,9342
1907,John,8983
1906,John,8265
1905,John,8060
1904,John,8108
1903,John,7608
1902,John,7907
1901,John,6900
1900,John,9829
1899,John,6990
1898,John,8159
1897,John,7550
1896,John,8138
1895,John,8320
1894,John,8238
1893,John,8049
1892,John,9039
1891,John,7680
1890,John,8502
1889,John,8548
1888,John,9247
1887,John,8110
1886,John,9026
1885,John,8756
1884,John,9388
1883,John,8894
1882,John,9557
1881,John,8769
1880,John,9655
