"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542546978.4","578224936","635304702.2","683586931.1","782120782.3","793828300","836365105","841543240","846619495","874945642","1030046313","1041334022","1113876885","1134445253","1149199725","1068990238","1282986950","1257447347","1302976102","1261562105","1165331883","1130154695","1188692987","",
"Afghanistan","AFG","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","140400000","129300000","","138364000","124434000","123524000","109525000","145386000","","129790000","242531000","338402000","314120000","458652000","450516000","551216000","494754000","541516000","321964390.8","372558763.2","392126599.1","395903908.7","596978996.3","681225629.1","524499078","425807716","479278490","443105908","398244445.1","464757256.9","390842287.8","387414266.9","660796276.4","604313059","462492591.3","490307256.3","531877491","525808935","722034756","992732655","1148147677","1717635416","2052058433","2206590621","3050186101","3377331795","5208227502","6566320928","6404120895","8580252554","7707265928","7750711594","6558908527","6804744439","",
"Angola","AGO","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","127500000","113600000","135100000","146600000","163800000","194700000","208400000","274500000","308200000","328402000","368594000","421881000","392259000","542722000","625125000","","","","","","","1598220800","975092250.5","800698162.9","1012897683","1425713903","1057641662","1204755666","1396322855","1468583810","1722857013","1846698066","2632457378","1450831352","1450546468","1891133352","2078384332","2524421798","2230347574","2238873559","2067694973","2398491873","2671869600","3711938488","4290745031","5333007067","8525689606","16999815246","25455079096","23932371515","18158402578","20807939096","29040480575","26772241780","28776276674","16770135537","11047691882","12010207481","",
"Albania","ALB","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","253106700","321168100","241578700","251793182.5","260991186.2","253274415.2","245121285.5","317645286","387254088.3","423135067","495887789.4","574458561.4","421130189.8","160575615.6","650632433.5","908589323.5","619735368.6","794646824.5","899102879.8","1093516277","1325610050","1492909866","1850305833","2294031021","2602868252","3005121654","4051193237","5243405563","4440214165","4537932773","5318646840","4875038549","4931340624","5284111109","4364943194","4666089101","5670492837","",
"Andorra","AND","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","3923800000","3794400000","2651500000","3565300000","4836700000","3876900000","5535800000","5348155000","5792928000","6457637000","7241636000","8191252000","10141268000","15340123000","25451887000","36940568000","43535280000","59325258000","68821378000","71799207000","90289912000","131198048318.5","136600644125.6","120648308310.8","112168379250.4","92517379684.27","84032570451.48","80952737492.29","92064869208.36","93878758173.99","105188208442.52","103355653243.4","121593355416.2","118987604569.4","118012794315.8","131496480276.4","138018598415.2","138499496217.09","146074731208.72","154494538695.46","160220347394","172798071813","179009943397","201791045504","285833388303","317270521582","368123391593","473944516495","648852497794","574784650298","646612642075","733927007936","831477267532","905680420244","921800218865","868623777974","781898660685","776344937586","",
"United Arab Emirates","ARE","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","270100000","311000000","494700000","837100000","1773900000","2745400000","3419700000","5186100000","5376800000","6956600000","8569900000","9366400000","9439700000","8356000000","7043200000","6484000000","6431000000","6901000000","8526000000","9559000000","11472000000","13764700000","17414000000","19520000000","21024000000","20973000000","22628000000","22969592885","24728000000","35746228984","25426740019","29560400005","30352499987","38501028616","72583077400","81503346265","98654778561","127964000000","177093000000","165446000000","188365000000","212653000000","262909000000","296970000000","300664000000","288991000000","272727000000","257713000000","",
"Argentina","ARG","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","1227300000","1460400000","1347100000","970600000","1056700000","1178700000","1124600000","1095600000","1169600000","1576150000","1684650000","1869420000","1904530000","2241340000","3635180000","3958150000","3032820000","4162610000","3833920000","6710570000","10540900000","9432180000","5340990000","4504000000","4584630000","3814210000","4724040000","5818860000","5319520000","4200385247","4078479000","8275244000","14862390000","16772938000","22363696103","19221011480","24427616534","30284808496","31999262796","25517783785","25134262018","20220799699","8962406675","13761192137","22183364025","28383971425","33995096051","44508794539","57382480589","38445401090","55938073832","72534984025","68359619752","73991159634","65233831212","59747968165","59517194236","67463206861","",
"Armenia","ARM","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51176534.92","258506100","395576700","695976600","861508300","891350569.5","902388700","842738000","884661701","876516620","986645031","1277189869","1348054618","1800765216","2191190570","3267788096","4426128618","3304154780","3748947517","4144599290","4264832091","4476797896","4401599931","3253955791","3263928091","4097065111","",
"American Samoa","ASM","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66960310","105970209","146344478","96577740","134093683","283048211","116662008","174279304","230508441","133900542","98143245","248652187","255454706","272227876","240388407","185366792","238467765","153000183","",
