"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14719201.12","12529978.44","23920409.19","29008895.81","29275388.86","172998706","148853751","128361008","82190158","79555449","106204891","108964809","97892757","98608225","135179344","124520793","151318100","172955792","167753248","110834716","79449757","94128679","89079369","",
"Afghanistan","AFG","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","49900000","53400000","58900000","70100000","69600000","69500000","71600000","66407000","71817000","81884000","84591000","99900000","124419000","159016000","230550000","224861000","297146000","313137000","269156000","435015000","670474000","638117000","200898367.9","195405822.6","175982593","203069731.6","166305851.9","336183450.9","175081535.9","174740024.1","131088402.3","189029326.7","181319022.5","688112731.6","104603806.9","165993816.4","128046649.7","144654658.9","151181189.3","122752138.3","149257763","101037858","99277870","149781301","146160645","184330171","143130672","204955286","556332171","412091834","396392531","386646122","316332030","384481202","426559199","581610314","615046999","850376840","",
"Angola","AGO","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","123300000","133700000","147700000","163500000","204100000","198000000","220300000","236500000","268100000","326937000","423413000","408004000","478640000","802065000","1229332000","","","","","","","1355401259","1270076364","1741332033","1918280354","2177059436","1555469680","2219857069","2487614797","2880977578","3748110048","3097252128","3526519101","2883454150","2933630238","3411511371","4543804990","4310245646","3477237988","4393559278","9434584564","8642992930","9776804195","11241035692","14511003357","23485885111","32612596493","34797422867","64134416088","39810642328","52232903555","66309723622","70684449719","67251050419","59067437933","32731420134","23867361860","30516972540","",
"Albania","ALB","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","273720909.1","253625068.5","217500994.3","210389168.8","198291667.6","286067840.3","230130638.7","258291597.1","305299897.5","224267474.9","171206601.3","114108574.9","122465156.2","141476732.3","201837158.5","210539981.7","141300939.2","206488161.1","275349258.3","256221009","307221332","338843626","447114898","604409562","638612861","748519466","998884081","1341832947","1100384078","1542193742","1951438529","1906827252","2440929560","2550133633","2015813368","1961477334","2463201513","",
"Andorra","AND","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","2467200000","2350300000","2116300000","2677500000","4270100000","4637100000","5851200000","6173253000","7678128000","8409930000","9309540000","11214818000","11756927000","22026356000","62611995000","57348841000","81600513000","88319925000","83611664000","133122674000","204581594000","216256619191.33","164800465344.77","127997447061.73","120505052111.632","106813576914.94","78707858546.79","91490155062.01","90801874203.98","110217128588.83","140608530003.57","124926160810.92","127674279691.37","118572977185.95","122156747926.48","142809857638.29","168276801991.96","179701662701.129","133844972451.901","168284701233.28","267638311185","247559984697","251206319191","306036612104","393722760605","516649072489","629776641329","698272955505","1056070408653","649648810539","879776154723","1186196229975","1332829610663","1292628995009","1215107344589","780184477683","678159009308","790445513129","",
"United Arab Emirates","ARE","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","8590700000","9637000000","9125400000","13651600000","21618400000","21238100000","16836800000","14672140436","14191793648","14042949978","12344499257","13494785329","13226735331","16464373913","21835694583","23516551224","22696710378","21227511979","21523231408","24087194467","27689455081","31261946066","25811620513","28097778714","43116029507","41010746664","39902155101","52936419053","72492255432","99797818599","119355000000","133741000000","195564000000","120836000000","175494000000","239066000000","267819000000","267665000000","256760000000","190767000000","189090000000","209997000000","",
"Argentina","ARG","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","1079100000","964200000","1216800000","1364400000","1409300000","1492000000","1592900000","1464400000","1365350000","1610700000","1772520000","1739840000","1940520000","3267920000","3930600000","2960930000","3915730000","5651430000","6401380000","7809390000","8024890000","9139330000","7622620000","7835700000","8107400000","8396050000","6851890000","6360070000","9136550000","9560656881","12352010000","11972706000","12228056000","13111665000","16396134596","20362982000","24216992938","25371852253","26281771808","22884322590","26324380052","26523609234","25695357991","29561288923","33922907097","40280844898","46533628915","55960772787","70013273018","55647684014","67420303671","82107003165","78580713827","74292063185","67418856598","56672272438","57642365669","58111630809","",
"Armenia","ARM","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6584860.343","171261633.3","241711500","356927800","290314600","232811878.8","220516000","231669200","301293654","342731711","505774134","687681176","725022723","976949412","984452560","1152300780","1057161434","697789610","1041046792","1334338810","1428124301","1480030529","1519286858","1486885931","1779360291","2237697186","",
"American Samoa","ASM","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3860890","89666790","29600554","9420276","6651389","13869524","76676870","68443240","64342906","22566164","26812304","49613849","89245909","56935655","66087910","36432962","41052234","36435880","",
