STATION,DATE,VARIABLE,TEMP
GHCND:USW00014837,19700101,EMXT,33
GHCND:USW00014837,19700201,EMXT,83
GHCND:USW00014837,19700301,EMXT,122
GHCND:USW00014837,19700401,EMXT,294
GHCND:USW00014837,19700501,EMXT,306
GHCND:USW00014837,19700601,EMXT,339
GHCND:USW00014837,19700701,EMXT,322
GHCND:USW00014837,19700801,EMXT,328
GHCND:USW00014837,19700901,EMXT,311
GHCND:USW00014837,19701001,EMXT,250
GHCND:USW00014837,19701101,EMXT,133
GHCND:USW00014837,19701201,EMXT,167
GHCND:USW00014837,19710101,EMXT,28
GHCND:USW00014837,19710201,EMXT,83
GHCND:USW00014837,19710301,EMXT,211
GHCND:USW00014837,19710401,EMXT,256
GHCND:USW00014837,19710501,EMXT,300
GHCND:USW00014837,19710601,EMXT,350
GHCND:USW00014837,19710701,EMXT,328
GHCND:USW00014837,19710801,EMXT,333
GHCND:USW00014837,19710901,EMXT,322
GHCND:USW00014837,19711001,EMXT,311
GHCND:USW00014837,19711101,EMXT,217
GHCND:USW00014837,19711201,EMXT,78
GHCND:USW00014837,19720101,EMXT,72
GHCND:USW00014837,19720201,EMXT,67
GHCND:USW00014837,19720301,EMXT,161
GHCND:USW00014837,19720401,EMXT,256
GHCND:USW00014837,19720501,EMXT,317
GHCND:USW00014837,19720601,EMXT,328
GHCND:USW00014837,19720701,EMXT,344
GHCND:USW00014837,19720801,EMXT,344
GHCND:USW00014837,19720901,EMXT,283
GHCND:USW00014837,19721001,EMXT,244
GHCND:USW00014837,19721101,EMXT,122
GHCND:USW00014837,19721201,EMXT,67
GHCND:USW00014837,19730101,EMXT,117
GHCND:USW00014837,19730201,EMXT,67
GHCND:USW00014837,19730301,EMXT,200
GHCND:USW00014837,19730401,EMXT,228
GHCND:USW00014837,19730501,EMXT,267
GHCND:USW00014837,19730601,EMXT,322
GHCND:USW00014837,19730701,EMXT,350
GHCND:USW00014837,19730801,EMXT,344
GHCND:USW00014837,19730901,EMXT,322
GHCND:USW00014837,19731001,EMXT,267
GHCND:USW00014837,19731101,EMXT,178
GHCND:USW00014837,19731201,EMXT,150
GHCND:USW00014837,19740101,EMXT,100
GHCND:USW00014837,19740201,EMXT,72
GHCND:USW00014837,19740301,EMXT,194
GHCND:USW00014837,19740401,EMXT,289
GHCND:USW00014837,19740501,EMXT,311
GHCND:USW00014837,19740601,EMXT,317
GHCND:USW00014837,19740701,EMXT,361
GHCND:USW00014837,19740801,EMXT,328
GHCND:USW00014837,19740901,EMXT,306
GHCND:USW00014837,19741001,EMXT,261
GHCND:USW00014837,19741101,EMXT,217
GHCND:USW00014837,19741201,EMXT,50
GHCND:USW00014837,19750101,EMXT,117
GHCND:USW00014837,19750201,EMXT,61
GHCND:USW00014837,19750301,EMXT,106
GHCND:USW00014837,19750401,EMXT,256
GHCND:USW00014837,19750501,EMXT,339
GHCND:USW00014837,19750601,EMXT,339
GHCND:USW00014837,19750701,EMXT,339
GHCND:USW00014837,19750801,EMXT,339
GHCND:USW00014837,19750901,EMXT,294
GHCND:USW00014837,19751001,EMXT,322
GHCND:USW00014837,19751101,EMXT,211
GHCND:USW00014837,19751201,EMXT,150
GHCND:USW00014837,19760101,EMXT,50
GHCND:USW00014837,19760201,EMXT,156
GHCND:USW00014837,19760301,EMXT,244
GHCND:USW00014837,19760401,EMXT,283
GHCND:USW00014837,19760501,EMXT,289
GHCND:USW00014837,19760601,EMXT,350
GHCND:USW00014837,19760701,EMXT,400
GHCND:USW00014837,19760801,EMXT,344
GHCND:USW00014837,19760901,EMXT,328
GHCND:USW00014837,19761001,EMXT,322
