year,name,count
1880,John,9655
1881,John,8769
1882,John,9557
1883,John,8894
1884,John,9388
1885,John,8756
1886,John,9026
1887,John,8110
1888,John,9247
1889,John,8548
1890,John,8502
1891,John,7680
1892,John,9039
1893,John,8049
1894,John,8238
1895,John,8320
1896,John,8138
1897,John,7550
1898,John,8159
1899,John,6990
1900,John,9829
1901,John,6900
1902,John,7907
1903,John,7608
1904,John,8108
1905,John,8060
1906,John,8265
1907,John,8983
1908,John,9342
1909,John,9591
1910,John,11450
1911,John,13446
1912,John,24587
1913,John,29329
1914,John,37948
1915,John,47576
1916,John,50043
1917,John,51853
1918,John,56558
1919,John,53528
1920,John,56913
1921,John,58217
1922,John,57277
1923,John,57470
1924,Robert,60801
1925,Robert,60897
1926,Robert,61130
1927,Robert,61669
1928,Robert,60699
1929,Robert,59798
1930,Robert,62149
1931,Robert,60508
1932,Robert,59266
1933,Robert,54218
1934,Robert,55829
1935,Robert,56524
1936,Robert,58492
1937,Robert,61835
1938,Robert,62268
1939,Robert,59645
1940,James,62473
1941,James,66736
1942,James,77176
1943,James,80261
1944,James,76951
1945,James,74449
1946,James,87436
1947,James,94757
1948,James,88584
1949,James,86857
1950,James,86224
1951,James,87261
1952,James,87063
1953,Robert,86256
1954,Michael,88528
1955,Michael,88327
1956,Michael,90656
1957,Michael,92704
1958,Michael,90517
1959,Michael,85251
1960,David,85929
1961,Michael,86917
1962,Michael,85034
1963,Michael,83782
1964,Michael,82646
1965,Michael,81021
1966,Michael,79990
1967,Michael,82436
1968,Michael,82008
1969,Michael,85203
1970,Michael,85302
1971,Michael,77594
1972,Michael,71405
1973,Michael,67847
1974,Michael,67578
1975,Michael,68454
1976,Michael,66954
1977,Michael,67616
1978,Michael,67158
1979,Michael,67739
1980,Michael,68696
1981,Michael,68763
1982,Michael,68235
1983,Michael,68000
1984,Michael,67741
1985,Michael,64912
1986,Michael,64208
1987,Michael,63655
1988,Michael,64143
1989,Michael,65389
1990,Michael,65290
1991,Michael,60785
1992,Michael,54392
1993,Michael,49549
1994,Michael,44469
1995,Michael,41402
1996,Michael,38364
1997,Michael,37549
1998,Michael,36615
1999,Jacob,35363
2000,Jacob,34477
2001,Jacob,32545
2002,Jacob,30574
2003,Jacob,29638
2004,Jacob,27881
2005,Jacob,25833
2006,Jacob,24845
2007,Jacob,24282
2008,Jacob,22594
2009,Jacob,21175
2010,Jacob,22127
2011,Jacob,20371
2012,Jacob,19074
2013,Noah,18257
2014,Noah,19305
2015,Noah,19635
2016,Noah,19117
2017,Liam,18798
2018,Liam,19837
