code,country,pop,gdp,life,cell
ABW,Aruba,0.1,,75.87,
AFG,Afghanistan,34.66,19.47,63.67,21.6
AGO,Angola,28.81,95.34,61.55,13.0
ALB,Albania,2.88,11.86,78.34,3.37
AND,Andorra,0.08,2.86,,0.07
ARE,United Arab Emirates,9.27,348.74,77.26,19.91
ARG,Argentina,43.85,545.48,76.58,63.72
ARM,Armenia,2.92,10.57,74.62,3.43
ASM,American Samoa,0.06,0.66,,
ATG,Antigua and Barbuda,0.1,1.46,76.36,0.18
AUS,Australia,24.21,1204.62,82.5,26.55
AUT,Austria,8.73,390.8,80.89,14.27
AZE,Azerbaijan,9.76,37.85,72.03,10.19
BDI,Burundi,10.52,3.01,57.48,5.36
BEL,Belgium,11.34,467.96,80.99,12.55
BEN,Benin,10.87,8.58,60.91,8.89
BFA,Burkina Faso,18.65,11.69,60.36,15.4
BGD,Bangladesh,162.95,221.42,72.49,135.98
BGR,Bulgaria,7.13,53.24,74.61,8.97
BHR,Bahrain,1.43,32.18,76.9,2.99
BHS,"Bahamas, The",0.39,11.26,75.68,0.36
BIH,Bosnia and Herzegovina,3.52,16.91,76.91,3.4
BLR,Belarus,9.5,47.41,73.83,11.44
BLZ,Belize,0.37,1.74,70.38,0.23
BMU,Bermuda,0.07,,81.23,
BOL,Bolivia,10.89,33.81,69.12,10.11
BRA,Brazil,207.65,1796.19,75.51,244.07
BRB,Barbados,0.28,4.53,75.91,0.33
BRN,Brunei Darussalam,0.42,11.4,77.2,0.52
BTN,Bhutan,0.8,2.21,70.2,0.7
BWA,Botswana,2.25,15.58,66.8,3.29
CAF,Central African Republic,4.59,1.76,52.17,1.25
CAN,Canada,36.26,1535.77,82.3,30.75
CHE,Switzerland,8.37,668.85,82.9,11.24
CHI,Channel Islands,0.16,,81.11,
CHL,Chile,17.91,247.03,79.52,23.3
CHN,China,1378.66,11199.15,76.25,1364.93
CIV,Cote d'Ivoire,23.7,36.37,53.58,27.45
CMR,Cameroon,23.44,32.22,58.07,18.72
COD,"Congo, Dem. Rep.",78.74,35.38,59.62,28.89
COG,"Congo, Rep.",5.13,7.83,64.62,5.42
COL,Colombia,48.65,282.46,74.38,58.68
COM,Comoros,0.8,0.62,63.7,0.45
CPV,Cabo Verde,0.54,1.62,72.8,0.6
CRI,Costa Rica,4.86,57.44,79.83,8.33
CUB,Cuba,11.48,,79.74,3.99
CUW,Curacao,0.16,,77.87,0.19
CYM,Cayman Islands,0.06,,,0.1
CYP,Cyprus,1.17,20.05,80.51,1.13
CZE,Czech Republic,10.57,195.31,78.33,12.49
DEU,Germany,82.49,3477.8,80.64,103.47
DJI,Djibouti,0.94,,62.46,0.35
DMA,Dominica,0.07,0.58,,0.08
DNK,Denmark,5.73,306.9,80.7,6.99
DOM,Dominican Republic,10.65,71.58,73.86,8.71
DZA,Algeria,40.61,159.05,76.08,47.04
ECU,Ecuador,16.39,98.61,76.33,13.88
EGY,"Egypt, Arab Rep.",95.69,332.79,71.48,97.79
ERI,Eritrea,,,65.09,0.51
ESP,Spain,46.48,1237.26,82.83,51.52
EST,Estonia,1.32,23.34,77.74,1.9
ETH,Ethiopia,102.4,72.37,65.47,51.22
FIN,Finland,5.5,238.68,81.78,7.37
FJI,Fiji,0.9,4.7,70.27,1.04
FRA,France,66.89,2465.45,82.27,67.57
FRO,Faroe Islands,0.05,,82.24,0.05
FSM,"Micronesia, Fed. Sts.",0.1,0.33,69.19,0.02
GAB,Gabon,1.98,14.21,66.1,2.96
GBR,United Kingdom,65.6,2650.85,80.96,78.93
GEO,Georgia,3.72,14.38,73.26,5.53
GHA,Ghana,28.21,42.69,62.74,38.31
GIB,Gibraltar,0.03,,,0.04
GIN,Guinea,12.4,8.2,60.02,10.8
GMB,"Gambia, The",2.04,0.96,61.19,2.84
GNB,Guinea-Bissau,1.82,1.16,57.4,1.29
GNQ,Equatorial Guinea,1.22,10.68,57.68,0.58
GRC,Greece,10.77,192.69,81.04,12.54
GRD,Grenada,0.11,1.06,73.66,0.12
GRL,Greenland,0.06,,,
GTM,Guatemala,16.58,68.76,73.41,18.26
GUM,Guam,0.16,5.79,79.58,
GUY,Guyana,0.77,3.5,66.65,0.58
HKG,"Hong Kong SAR, China",7.34,320.91,84.23,17.58
HND,Honduras,9.11,21.52,73.58,7.83
HRV,Croatia,4.17,50.71,78.02,4.41
HTI,Haiti,10.85,8.02,63.33,6.5
HUN,Hungary,9.81,125.82,75.57,11.78
IDN,Indonesia,261.12,932.26,69.19,385.57
IMN,Isle of Man,0.08,,,
